event_order,event_name,canada_users,india_users,united_states_users,canada_from_start_pct,india_from_start_pct,united_states_from_start_pct,canada_step_conversion_pct,india_step_conversion_pct,united_states_step_conversion_pct
1,session_start,20037,25059,117160,100.0,100.0,100.0,100.0,100.0,100.0
2,view_item,4653,5795,26953,23.2,23.1,23.0,23.2,23.1,23.0
3,add_to_cart,993,1162,5603,5.0,4.6,4.8,21.3,20.1,20.8
4,begin_checkout,764,878,4310,3.8,3.5,3.7,76.9,75.6,76.9
5,purchase,355,406,1942,1.8,1.6,1.7,46.5,46.2,45.1
